True Values,Predictions,error,close,open,gap_open,day_of_week,week_of_year,month_of_year,Mar Up,Mar Down,Pred Up,Pred Down,Results
10863.5,10825.46975,38.03025,10863.5,10812.6,8.55,1,20,5,1,0,1,0,1
8256.1,8258.34725,-2.24725,8256.1,8262.55,-9,0,43,10,0,1,0,1,1
8621.2,8570.83325,50.36675,8621.2,8600.2,-79.1,4,31,8,1,0,0,1,0
17991.15,17957.84725,33.30275,17991.15,17974.85,32.25,4,7,2,1,0,0,1,0
17336.85,17381.62,-44.77,17336.85,17375.75,5.05,2,36,9,0,1,1,0,0
16780.35,16671.84675,108.50325,16780.35,16761.65,178.05,4,22,6,1,0,0,1,0
22409.45,22389.50525,19.94475,22409.45,22421.55,9.35,2,17,4,0,1,0,1,1
18854.65,18881.75775,-27.10775,18854.65,18873.3,119.1,0,25,6,0,1,1,0,0
25055.45,25041.26,14.19,25055.45,25065.8,46.25,2,41,10,0,1,0,1,1
12104.3,12095.83875,8.46125,12104.3,12131.35,70.85,0,51,12,0,1,0,1,1
7440.9,7461.7905,-20.8905,7440.9,7425.3,74.15,0,3,1,1,0,1,0,1
10358.5,10389.6205,-31.1205,10358.5,10390.3,98.5,1,41,10,0,1,0,1,1
18174.05,18241.0945,-67.0445,18174.05,18246.4,88.45,0,47,11,0,1,0,1,1
7851,7840.23875,10.76125,7851,7837.15,-55.4,3,48,11,1,0,1,0,1
8413,8441.97725,-28.97725,8413,8413.2,-15.85,3,31,7,0,1,1,0,0
9686.75,9691.51425,-4.76425,9686.75,9704.25,67.35,1,23,6,0,1,0,1,1
